#Wave_number	#Intensity
2599.195313	4651.249023
2597.996094	4687.989258
2596.796875	4689.287109
2595.596680	4617.651855
2594.397461	4716.881836
2593.197266	4699.425781
2591.996094	4623.659180
2590.795898	4593.729980
2589.595703	4603.369629
2588.394531	4579.698730
2587.193359	4614.312500
2585.992188	4578.161621
2584.790039	4729.279297
2583.588867	4616.150391
2582.386719	4661.133789
2581.184570	4545.974121
2579.982422	4543.131836
2578.779297	4650.471191
2577.577148	4643.455078
2576.374023	4490.967285
2575.170898	4473.590332
2573.966797	4624.496094
2572.763672	4544.788086
2571.559570	4544.024902
2570.355469	4630.472168
2569.151367	4650.455566
2567.947266	4552.114258
2566.742188	4538.896973
2565.538086	4386.655762
2564.333008	4489.653809
2563.127930	4520.014648
2561.921875	4542.069336
2560.716797	4526.790527
2559.510742	4515.663086
2558.304688	4608.187012
2557.098633	4510.000000
2555.892578	4563.120605
2554.685547	4479.477051
2553.478516	4487.010254
2552.271484	4581.531738
2551.064453	4497.926758
2549.857422	4488.888672
2548.649414	4597.853027
2547.441406	4516.356445
2546.233398	4472.138184
2545.025391	4438.279785
2543.817383	4462.358398
2542.608398	4573.303223
2541.399414	4578.738281
2540.190430	4569.697266
2538.981445	4498.637207
2537.771484	4504.081543
2536.562500	4559.124023
2535.352539	4440.575195
2534.142578	4474.950195
2532.931641	4550.625977
2531.721680	4477.574707
2530.510742	4507.795410
2529.299805	4403.806152
2528.088867	4460.864258
2526.876953	4557.117188
2525.666016	4444.917480
2524.454102	4468.927734
2523.242188	4497.055176
2522.030273	4494.235352
2520.818359	4476.981445
2519.605469	4647.358887
2518.392578	4446.612793
2517.179688	4482.964355
2515.966797	4457.479492
2514.752930	4436.124512
2513.540039	4486.879395
2512.326172	4463.466309
2511.112305	4485.367676
2509.897461	4464.021484
2508.683594	4516.795410
2507.468750	4464.575684
2506.253906	4402.083008
2505.039063	4407.513672
2503.824219	4429.401367
2502.608398	4484.192871
2501.393555	4452.587891
2500.177734	4464.174805
2498.960938	4301.003906
2497.745117	4450.336426
2496.528320	4406.425781
2495.312500	4436.506348
2494.095703	4374.122070
2492.877930	4490.473633
2491.661133	4415.777344
2490.443359	4427.353516
2489.225586	4393.756348
2488.007813	4417.648926
2486.790039	4421.008789
2485.572266	4504.399902
2484.353516	4501.587891
2483.134766	4429.028320
2481.916016	4403.668457
2480.696289	4456.244141
2479.477539	4504.701660
2478.257813	4432.189941
2477.038086	4449.889160
2475.818359	4502.420898
2474.598633	4384.867676
2473.377930	4486.560547
2472.157227	4475.561523
2470.936523	4388.791016
2469.715820	4457.669434
2468.495117	4434.396484
2467.273438	4480.727051
2466.051758	4533.181641
2464.830078	4450.566406
2463.608398	4472.319824
2462.385742	4393.833496
2461.163086	4421.724121
2459.941406	4566.161621
2458.717773	4442.719727
2457.495117	4423.571777
2456.272461	4518.883789
2455.048828	4401.642090
2453.825195	4435.631836
2452.601563	4436.924805
2451.376953	4436.174805
2450.153320	4415.004395
2448.928711	4469.385254
2447.704102	4307.358887
2446.478516	4406.642578
2445.253906	4426.304688
2444.028320	4480.646484
2442.802734	4406.447754
2441.577148	4419.980469
2440.351563	4406.997070
2439.125000	4375.666992
2437.899414	4336.192871
2436.672852	4380.302246
2435.446289	4293.967285
2434.218750	4201.548340
2432.992188	4259.918457
2431.764648	4293.825195
2430.537109	4362.342285
2429.309570	4237.394043
2428.081055	4246.856445
2426.853516	4266.493164
2425.625000	4225.067383
2424.396484	4279.293457
2423.166992	4227.706543
2421.938477	4320.562500
2420.708984	4220.173828
2419.479492	4256.062012
2418.250000	4208.579590
2417.020508	4222.096191
2415.790039	4140.083984
2414.559570	4301.950684
2413.329102	4205.729492
2412.098633	4186.734863
2410.868164	4224.616211
2409.636719	4272.637695
2408.406250	4225.215332
2407.173828	4114.877930
2405.941406	4235.962402
2404.710938	4281.919434
2403.478516	4275.106934
2402.246094	4150.634766
2401.013672	4210.780762
2399.781250	4165.451660
2398.546875	4203.270996
2397.314453	4076.866943
2396.080078	4122.795410
2394.847656	4116.017090
2393.613281	4143.686523
2392.378906	4181.476563
2391.144531	4239.508789
2389.910156	4101.075195
2388.675781	4193.524414
2387.441406	4168.518555
2386.207031	4070.650635
2384.970703	4061.864746
2383.736328	4152.233887
2382.500000	4098.927246
2381.263672	4126.551270
2380.027344	4101.581543
2378.791016	4082.686768
2377.554688	4215.432129
2376.318359	4125.773438
2375.082031	4199.854004
2373.843750	4081.937500
2372.607422	4089.326416
2371.369141	4090.652588
2370.130859	4120.254395
2368.892578	4143.787598
2367.656250	4143.084473
2366.416016	4045.483154
2365.177734	4038.741211
2363.939453	4007.785400
2362.701172	4059.564453
2361.460938	4147.637695
2360.220703	4062.219971
2358.982422	4101.863281
2357.742188	4081.003418
2356.501953	4100.470215
2355.261719	4061.476807
2354.021484	4034.588135
2352.781250	4130.619629
2351.539063	4007.027832
2350.298828	4068.788818
2349.056641	4078.167236
2347.814453	4041.229980
2346.574219	3939.882080
2345.332031	4021.740723
2344.089844	4053.257813
2342.847656	4096.837402
2341.603516	4069.987061
2340.361328	4069.295166
2339.119141	3962.011230
2337.875000	3993.510986
2336.630859	3992.832031
2335.388672	3988.132813
2334.144531	4140.200195
2332.900391	4055.098389
2331.656250	3982.080566
2330.410156	3971.359375
2329.166016	4036.962402
2327.921875	4102.542969
2326.675781	4117.907227
2325.431641	4052.969482
2324.185547	3976.011230
2322.939453	3993.395264
2321.693359	3978.671143
2320.447266	4048.205811
2319.201172	4105.682617
2317.953125	4026.774658
2316.707031	4098.270020
2315.460938	3991.324463
2314.212891	4074.827393
2312.964844	4090.165771
2311.716797	4109.506348
2310.468750	3980.594238
2309.220703	4046.014648
2307.972656	3939.186035
2306.724609	4102.703613
2305.476563	3945.852539
2304.226563	4051.266113
2302.978516	3918.492188
2301.728516	4003.864746
2300.478516	3979.175781
2299.228516	4070.509277
2297.978516	4029.817871
2296.728516	4029.131348
2295.478516	4020.447998
2294.226563	3997.775146
2292.976563	3985.102539
2291.724609	3992.416260
2290.474609	3885.849121
2289.222656	3939.120117
2287.970703	3940.445801
2286.718750	3965.733154
2285.466797	3971.046631
2284.214844	3986.339111
2282.960938	3935.763916
2281.708984	3947.065674
2280.455078	3920.455811
2279.203125	4027.506592
2277.949219	3913.135498
2276.695313	3896.515137
2275.441406	3953.670410
2274.187500	3921.100830
2272.933594	3978.232178
2271.677734	3915.777832
2270.423828	3825.450684
2269.167969	3753.083252
2267.914063	3975.518066
2266.658203	3901.157715
2265.402344	3892.527832
2264.146484	3836.123291
2262.890625	3960.862793
2261.634766	3844.764404
2260.376953	4007.263672
2259.121094	3928.994629
2257.863281	3906.444580
2256.607422	3919.698486
2255.349609	3932.947754
2254.091797	3868.659912
2252.833984	3836.196777
2251.576172	3917.022217
2250.318359	3934.236084
2249.060547	3935.550781
2247.800781	3918.988281
2246.542969	3854.767822
2245.283203	3836.238770
2244.023438	3914.995117
2242.763672	3952.040283
2241.505859	3864.041992
2240.244141	3837.586426
2238.984375	3830.978760
2237.724609	3790.652100
2236.464844	3918.916016
2235.203125	3838.929688
2233.941406	3828.360596
2232.681641	3780.132568
2231.419922	3846.870850
2230.158203	3943.309814
2228.896484	3869.330566
2227.634766	3731.987793
2226.371094	3822.454834
2225.109375	3843.583496
2223.845703	3866.684814
2222.583984	3810.596680
2221.320313	3804.007324
2220.056641	3823.145264
2218.792969	3899.653320
2217.529297	3776.339355
2216.265625	3924.031250
2215.001953	3856.124756
2213.736328	3817.898926
2212.472656	3787.593506
2211.207031	3836.357422
2209.943359	3916.722900
2208.677734	3860.729980
2207.412109	3832.412598
2206.146484	3883.110107
2204.880859	3825.176514
2203.613281	3852.164063
2202.347656	3756.746826
